model102,1,2.08545186,0.00025929,0.01,0.6307709
model103,1,1.31886061,0.00025929,0.01,0.74390954
model104,1,0.836585,0.00025929,0.01,0.8782634
model105,1,0.53252832,0.00025929,0.01,1.03815452
model106,1,0.34035781,0.00025929,0.01,1.22891116
model107,1,0.21855516,0.00025929,0.01,1.4571461
model108,1,0.14109985,0.00025929,0.01,1.73112649
model109,1,0.09165971,0.00025929,0.01,2.06126993
model110,1,0.05996578,0.00025929,0.01,2.46081603
model111,1,0.03954842,0.00025929,0.01,2.94674441
model112,1,0.02632229,0.00025929,0.01,3.54104112
model113,1,0.01770079,0.00025929,0.01,4.27246262
model114,1,0.01204132,0.00025929,0.01,5.17901564
model115,1,0.00829715,0.00025929,0.01,6.31147622
model116,1,0.00579869,0.00025929,0.01,7.7384292
model117,1,0.00411571,0.00025929,0.01,9.55354989
model118,1,0.0029704,0.00025929,0.01,11.88621796
model119,1,0.00218241,0.00025929,0.01,14.91711871
model120,1,0.00163393,0.00025929,0.01,18.90135999
model121,1,360.7792472,0.00035622,0.01,0.10678495
model122,1,224.82919854,0.00035622,0.01,0.12530833
model123,1,140.19150326,0.00035622,0.01,0.1470742
model124,1,87.47666959,0.00035622,0.01,0.1726611
model125,1,54.62801326,0.00035622,0.01,0.20275489
model126,1,34.14685519,0.00035622,0.01,0.23817014
model127,1,21.36817818,0.00035622,0.01,0.27987633
model128,1,13.38894747,0.00035622,0.01,0.32903017
model129,1,8.40197333,0.00035622,0.01,0.38701556
model130,1,5.28178698,0.00035622,0.01,0.45549351
model131,1,3.3271411,0.00035622,0.01,0.53646488
model132,1,2.1008643,0.00035622,0.01,0.63234976
model133,1,1.33023762,0.00035622,0.01,0.74608883
model134,1,0.84500263,0.00035622,0.01,0.8812738
model135,1,0.53877302,0.00035622,0.01,1.04231677
model136,1,0.34500483,0.00035622,0.01,1.23467202
model137,1,0.22202555,0.00035622,0.01,1.4651292
model138,1,0.14370211,0.00035622,0.01,1.74220448
model139,1,0.09362011,0.00035622,0.01,2.07666724
model140,1,0.06145047,0.00035622,0.01,2.48225602
